season,round,driver,grid_position,best_quali_time,gap_to_pole,made_q3,made_q2
2022,16,LEC,1.0,80.161,0.0,1,1
2022,16,VER,2.0,80.306,0.144999999999996,1,1
2022,16,SAI,3.0,80.429,0.2680000000000007,1,1
2022,16,PER,4.0,81.206,1.0450000000000017,1,1
2022,16,HAM,5.0,81.524,1.3629999999999995,1,1
2022,16,RUS,6.0,81.542,1.3810000000000002,1,1
2022,16,NOR,7.0,81.584,1.4230000000000018,1,1
2022,16,RIC,8.0,81.925,1.7639999999999958,1,1
2022,16,GAS,9.0,82.648,2.4869999999999948,1,1
2022,16,ALO,10.0,81.861,1.7000000000000028,0,1
2022,16,OCO,11.0,82.13,1.968999999999994,0,1
2022,16,BOT,12.0,82.235,2.073999999999998,0,1
2022,16,DEV,13.0,82.471,2.3100000000000023,0,1
2022,16,ZHO,14.0,82.577,2.415999999999997,0,1
2022,16,TSU,15.0,82.02,1.8589999999999949,0,0
2022,16,LAT,16.0,82.587,2.426000000000002,0,0
2022,16,VET,17.0,82.636,2.4749999999999943,0,0
2022,16,STR,18.0,82.748,2.587000000000004,0,0
2022,16,MAG,19.0,82.908,2.747,0,0
2022,16,MSC,20.0,83.005,2.843999999999994,0,0
2022,17,LEC,1.0,109.412,0.0,1,1
2022,17,PER,2.0,109.434,0.0219999999999913,1,1
2022,17,HAM,3.0,109.466,0.0539999999999878,1,1
2022,17,SAI,4.0,109.583,0.1709999999999922,1,1
2022,17,ALO,5.0,109.966,0.5539999999999878,1,1
2022,17,NOR,6.0,110.584,1.171999999999997,1,1
2022,17,GAS,7.0,111.211,1.7989999999999924,1,1
2022,17,VER,8.0,111.395,1.9829999999999897,1,1
2022,17,MAG,9.0,111.573,2.160999999999987,1,1
2022,17,TSU,10.0,111.983,2.570999999999998,1,1
2022,17,RUS,11.0,114.012,4.599999999999994,0,1
2022,17,STR,12.0,114.211,4.798999999999992,0,1
2022,17,MSC,13.0,114.37,4.957999999999998,0,1
2022,17,VET,14.0,114.38,4.967999999999989,0,1
2022,17,ZHO,15.0,115.518,6.1059999999999945,0,1
2022,17,BOT,16.0,116.083,6.670999999999992,0,0
2022,17,RIC,17.0,116.226,6.813999999999993,0,0
2022,17,OCO,18.0,116.337,6.924999999999997,0,0
2022,17,ALB,19.0,116.985,7.572999999999993,0,0
2022,17,LAT,20.0,117.532,8.11999999999999,0,0
2022,18,VER,1.0,89.304,0.0,1,1
2022,18,LEC,2.0,89.314,0.0099999999999909,1,1
2022,18,SAI,3.0,89.361,0.0570000000000021,1,1
2022,18,PER,4.0,89.709,0.4050000000000011,1,1
2022,18,OCO,5.0,90.165,0.8610000000000042,1,1
2022,18,HAM,6.0,90.261,0.9569999999999936,1,1
2022,18,ALO,7.0,90.322,1.018000000000001,1,1
2022,18,RUS,8.0,90.389,1.0849999999999935,1,1
2022,18,VET,9.0,90.554,1.25,1,1
2022,18,NOR,10.0,91.003,1.698999999999998,1,1
2022,18,RIC,11.0,90.659,1.355000000000004,0,1
2022,18,BOT,12.0,90.709,1.4050000000000011,0,1
2022,18,TSU,13.0,90.808,1.5040000000000049,0,1
2022,18,ZHO,14.0,90.953,1.649000000000001,0,1
2022,18,MSC,15.0,91.439,2.134999999999991,0,1
2022,18,ALB,16.0,91.311,2.007000000000005,0,0
2022,18,GAS,17.0,91.322,2.0180000000000007,0,0
2022,18,MAG,18.0,91.352,2.048000000000002,0,0
2022,18,STR,19.0,91.419,2.114999999999995,0,0
2022,18,LAT,20.0,91.511,2.2069999999999936,0,0
2022,19,SAI,1.0,94.356,0.0,1,1
2022,19,LEC,2.0,94.421,0.0650000000000119,1,1
2022,19,VER,3.0,94.448,0.0919999999999987,1,1
2022,19,PER,4.0,94.645,0.2890000000000015,1,1
2022,19,HAM,5.0,94.947,0.5910000000000082,1,1
2022,19,RUS,6.0,94.988,0.632000000000005,1,1
2022,19,STR,7.0,95.598,1.2420000000000044,1,1
2022,19,NOR,8.0,95.69,1.3340000000000032,1,1
2022,19,ALO,9.0,95.876,1.5200000000000102,1,1
2022,19,BOT,10.0,96.319,1.963000000000008,1,1
2022,19,ALB,11.0,96.368,2.0120000000000005,0,1
2022,19,VET,12.0,96.398,2.0420000000000016,0,1
